"","Name","ID","Description","Gene Width","Sum of Exon Widths","Number of Exons","Class","InterPro Accession"
"ENSG00000049245.13","VAMP3","ENSG00000049245.13","vesicle associated membrane protein 3",10137,3406,12,"protein_coding","IPR001388"
"ENSG00000049246.15","PER3","ENSG00000049246.15","period circadian regulator 3",60887,29713,108,"protein_coding","IPR000014"
"ENSG00000049247.14","UTS2","ENSG00000049247.14","urotensin 2",10430,2612,16,"protein_coding",""
"ENSG00000049249.10","TNFRSF9","ENSG00000049249.10","TNF receptor superfamily member 9",27295,7508,21,"protein_coding","IPR001368"
"ENSG00000116288.13","PARK7","ENSG00000116288.13","Parkinsonism associated deglycase",31215,8291,62,"protein_coding","IPR002818"
"ENSG00000116285.13","ERRFI1","ENSG00000116285.13","ERBB receptor feedback inhibitor 1",21906,7455,16,"protein_coding","IPR015116"
"ENSG00000162426.16","SLC45A1","ENSG00000162426.16","solute carrier family 45 member 1",26054,7338,25,"protein_coding","IPR011701"
"ENSG00000142599.20","RERE","ENSG00000142599.20","arginine-glutamic acid dipeptide repeats",496525,53129,196,"protein_coding","IPR000679"
"ENSG00000074800.16","ENO1","ENSG00000074800.16","enolase 1",18191,17060,115,"protein_coding","IPR000941"
"ENSG00000131686.15","CA6","ENSG00000131686.15","carbonic anhydrase 6",29226,5885,38,"protein_coding","IPR001148"
"ENSG00000197241.4","SLC2A7","ENSG00000197241.4","solute carrier family 2 member 7",23451,1944,12,"protein_coding","IPR003663"
"ENSG00000142583.18","SLC2A5","ENSG00000142583.18","solute carrier family 2 member 5",53373,12014,63,"protein_coding","IPR002442"
"ENSG00000180758.12","GPR157","ENSG00000180758.12","G protein-coupled receptor 157",28798,5853,8,"protein_coding","IPR000832"
"ENSG00000049239.13","H6PD","ENSG00000049239.13","hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase",36564,17438,12,"protein_coding","IPR001282"
"ENSG00000171621.14","SPSB1","ENSG00000171621.14","splA/ryanodine receptor domain and SOCS box containing 1",76639,6374,10,"protein_coding","IPR001496"
"ENSG00000171612.7","SLC25A33","ENSG00000171612.7","solute carrier family 25 member 33",45709,3865,7,"protein_coding","IPR018108"
"ENSG00000188807.13","TMEM201","ENSG00000188807.13","transmembrane protein 201",25967,12560,33,"protein_coding","IPR018617"
"ENSG00000171608.18","PIK3CD","ENSG00000171608.18","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",99226,63897,298,"protein_coding","IPR003113"
"ENSG00000171603.18","CLSTN1","ENSG00000171603.18","calsyntenin 1",95059,20425,76,"protein_coding","IPR002126"
"ENSG00000178585.15","CTNNBIP1","ENSG00000178585.15","catenin beta interacting protein 1",62061,5515,21,"protein_coding","IPR009428"
"ENSG00000162441.12","LZIC","ENSG00000162441.12","leucine zipper and CTNNBIP1 domain containing",21295,8478,30,"protein_coding","IPR009428"
"ENSG00000173614.14","NMNAT1","ENSG00000173614.14","nicotinamide nucleotide adenylyltransferase 1",42074,7645,20,"protein_coding","IPR004821"
"ENSG00000162444.12","RBP7","ENSG00000162444.12","retinol binding protein 7",18816,1486,9,"protein_coding",""
"ENSG00000130939.20","UBE4B","ENSG00000130939.20","ubiquitination factor E4B",148408,23566,115,"protein_coding","IPR003613"
"ENSG00000054523.20","KIF1B","ENSG00000054523.20","kinesin family member 1B",171034,104151,547,"protein_coding","IPR000253"
"ENSG00000142657.21","PGD","ENSG00000142657.21","phosphogluconate dehydrogenase",21920,7905,54,"protein_coding","IPR006114"
"ENSG00000251503.8","CENPS-CORT","ENSG00000251503.8","CENPS-CORT readthrough",22052,4486,22,"protein_coding","IPR009072"
"ENSG00000175279.22","CENPS","ENSG00000175279.22","centromere protein S",12376,3399,17,"protein_coding","IPR009072"
"ENSG00000241563.4","CORT","ENSG00000241563.4","cortistatin",1968,914,2,"protein_coding","IPR004250"
"ENSG00000160049.12","DFFA","ENSG00000160049.12","DNA fragmentation factor subunit alpha",16008,8182,16,"protein_coding","IPR003508"
"ENSG00000142655.13","PEX14","ENSG00000142655.13","peroxisomal biogenesis factor 14",158471,3614,21,"protein_coding","IPR006785"
"ENSG00000130940.15","CASZ1","ENSG00000130940.15","castor zinc finger 1",160047,20448,61,"protein_coding","IPR013087"
"ENSG00000175262.15","C1orf127","ENSG00000175262.15","chromosome 1 open reading frame 127",35606,10139,37,"protein_coding","IPR027956"
"ENSG00000120948.19","TARDBP","ENSG00000120948.19","TAR DNA binding protein",18185,37439,177,"protein_coding","IPR000504"
"ENSG00000009724.18","MASP2","ENSG00000009724.18","MBL associated serine protease 2",25231,31687,146,"protein_coding","IPR000152"
"ENSG00000116649.10","SRM","ENSG00000116649.10","spermidine synthase",5437,4010,23,"protein_coding","IPR001045"
"ENSG00000171824.14","EXOSC10","ENSG00000171824.14","exosome component 10",33252,13294,89,"protein_coding","IPR002121"
"ENSG00000198793.14","MTOR","ENSG00000198793.14","mechanistic target of rapamycin kinase",156022,78411,498,"protein_coding","IPR000403"
"ENSG00000171819.5","ANGPTL7","ENSG00000171819.5","angiopoietin like 7",6627,2831,8,"protein_coding","IPR002181"
"ENSG00000120942.14","UBIAD1","ENSG00000120942.14","UbiA prenyltransferase domain containing 1",22852,6703,12,"protein_coding","IPR000537"
"ENSG00000204624.8","DISP3","ENSG00000204624.8","dispatched RND transporter family member 3",58397,7670,28,"protein_coding","IPR000731"
"ENSG00000116661.11","FBXO2","ENSG00000116661.11","F-box protein 2",18768,5672,24,"protein_coding",""
"ENSG00000132879.14","FBXO44","ENSG00000132879.14","F-box protein 44",8953,14364,51,"protein_coding","IPR001810"
"ENSG00000116670.16","MAD2L2","ENSG00000116670.16",NA,32894,14210,94,"protein_coding",NA
"ENSG00000116663.11","FBXO6","ENSG00000116663.11","F-box protein 6",10155,3175,14,"protein_coding","IPR001810"
"ENSG00000162490.7","DRAXIN","ENSG00000162490.7","dorsal inhibitory axon guidance protein",34148,7365,7,"protein_coding","IPR029094"
"ENSG00000177674.16","AGTRAP","ENSG00000177674.16","angiotensin II receptor associated protein",18719,12780,68,"protein_coding",""
"ENSG00000215910.8","C1orf167","ENSG00000215910.8","chromosome 1 open reading frame 167",27799,19375,90,"protein_coding","IPR031473"
"ENSG00000177000.13","MTHFR","ENSG00000177000.13","methylenetetrahydrofolate reductase",20733,57679,153,"protein_coding","IPR003171"
"ENSG00000011021.23","CLCN6","ENSG00000011021.23","chloride voltage-gated channel 6",41984,23706,142,"protein_coding","IPR000644"
"ENSG00000175206.11","NPPA","ENSG00000175206.11","natriuretic peptide A",2637,1583,6,"protein_coding","IPR000663"
"ENSG00000120937.9","NPPB","ENSG00000120937.9","natriuretic peptide B",1482,708,3,"protein_coding","IPR000663"
"ENSG00000116685.17","KIAA2013","ENSG00000116685.17","KIAA2013",6838,5358,5,"protein_coding","IPR018795"
"ENSG00000083444.17","PLOD1","ENSG00000083444.17","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",41334,10645,62,"protein_coding","IPR050757"
"ENSG00000116688.18","MFN2","ENSG00000116688.18","mitofusin 2",35031,107716,437,"protein_coding","IPR006884"
"ENSG00000116691.11","MIIP","ENSG00000116691.11","migration and invasion inhibitory protein",12580,7777,38,"protein_coding","IPR031466"
"ENSG00000120949.15","TNFRSF8","ENSG00000120949.15","TNF receptor superfamily member 8",80905,14248,52,"protein_coding","IPR001368"
"ENSG00000028137.19","TNFRSF1B","ENSG00000028137.19","TNF receptor superfamily member 1B",42238,8236,27,"protein_coding","IPR001368"
"ENSG00000048707.15","VPS13D","ENSG00000048707.15","vacuolar protein sorting 13 homolog D",282018,78676,358,"protein_coding","IPR009060"
"ENSG00000162496.10","DHRS3","ENSG00000162496.10","dehydrogenase/reductase 3",52225,15943,58,"protein_coding","IPR002347"
"ENSG00000204518.3","AADACL4","ENSG00000204518.3","arylacetamide deacetylase like 4",22992,2027,4,"protein_coding","IPR013094"
"ENSG00000188984.12","AADACL3","ENSG00000188984.12","arylacetamide deacetylase like 3",12651,7887,7,"protein_coding","IPR013094"
"ENSG00000157330.10","CFAP107","ENSG00000157330.10","cilia and flagella associated protein 107",17500,4983,9,"protein_coding","IPR037662"
"ENSG00000116726.5","PRAMEF12","ENSG00000116726.5","PRAME family member 12",4169,2889,3,"protein_coding","IPR026271"
"ENSG00000116721.9","PRAMEF1","ENSG00000116721.9","PRAME family member 1",5232,3487,6,"protein_coding","IPR026271"
"ENSG00000239810.3","PRAMEF11","ENSG00000239810.3","PRAME family member 11",6806,1845,4,"protein_coding","IPR026271"
"ENSG00000179172.10","HNRNPCL1","ENSG00000179172.10","heterogeneous nuclear ribonucleoprotein C like 1",1344,1134,2,"protein_coding","IPR000504"
"ENSG00000120952.4","PRAMEF2","ENSG00000120952.4","PRAME family member 2",4824,1642,4,"protein_coding","IPR026271"
"ENSG00000243073.4","PRAMEF4","ENSG00000243073.4","PRAME family member 4",6990,1840,4,"protein_coding","IPR026271"
"ENSG00000187545.5","PRAMEF10","ENSG00000187545.5","PRAME family member 10",5375,1525,4,"protein_coding","IPR026271"
"ENSG00000204510.6","PRAMEF7","ENSG00000204510.6","PRAME family member 7",4142,3426,7,"protein_coding","IPR026271"
"ENSG00000232423.6","PRAMEF6","ENSG00000232423.6","PRAME family member 6",9109,3440,8,"protein_coding","IPR026271"
"ENSG00000274764.6","PRAMEF27","ENSG00000274764.6","PRAME family member 27",7100,1947,4,"protein_coding","IPR026271"
"ENSG00000277058.3","HNRNPCL3","ENSG00000277058.3","heterogeneous nuclear ribonucleoprotein C like 3",2110,3618,3,"protein_coding","IPR000504"
"ENSG00000229571.7","PRAMEF25","ENSG00000229571.7","PRAME family member 25",9208,3782,8,"protein_coding","IPR026271"
"ENSG00000275774.3","HNRNPCL2","ENSG00000275774.3","heterogeneous nuclear ribonucleoprotein C like 2",1367,1156,2,"protein_coding","IPR000504"
"ENSG00000280267.7","PRAMEF26","ENSG00000280267.7","PRAME family member 26",9212,4307,9,"protein_coding","IPR050694"
"ENSG00000179412.11","HNRNPCL4","ENSG00000179412.11","heterogeneous nuclear ribonucleoprotein C like 4",1718,1718,1,"protein_coding","IPR000504"
"ENSG00000204505.5","PRAMEF9","ENSG00000204505.5","PRAME family member 9",7612,2465,4,"protein_coding","IPR026271"
"ENSG00000279169.3","PRAMEF13","ENSG00000279169.3","PRAME family member 13",5222,3494,6,"protein_coding","IPR026271"
"ENSG00000279804.3","PRAMEF18","ENSG00000279804.3","PRAME family member 18",3460,2125,3,"protein_coding","IPR026271"
"ENSG00000270601.5","PRAMEF5","ENSG00000270601.5","PRAME family member 5",9238,1855,4,"protein_coding","IPR026271"
"ENSG00000182330.11","PRAMEF8","ENSG00000182330.11","PRAME family member 8",3834,3128,7,"protein_coding","IPR026271"
"ENSG00000237700.2","PRAMEF33","ENSG00000237700.2","PRAME family member 33",5369,1518,4,"protein_coding","IPR026271"
"ENSG00000204501.7","PRAMEF15","ENSG00000204501.7","PRAME family member 15",7018,1865,4,"protein_coding","IPR026271"
"ENSG00000204481.8","PRAMEF14","ENSG00000204481.8","PRAME family member 14",5243,3496,6,"protein_coding","IPR026271"
"ENSG00000204480.9","PRAMEF19","ENSG00000204480.9","PRAME family member 19",3517,2123,3,"protein_coding","IPR026271"
"ENSG00000204479.4","PRAMEF17","ENSG00000204479.4","PRAME family member 17",2998,1578,3,"protein_coding","IPR026271"
"ENSG00000204478.11","PRAMEF20","ENSG00000204478.11","PRAME family member 20",10879,1597,4,"protein_coding","IPR026271"
"ENSG00000162494.6","LRRC38","ENSG00000162494.6","leucine rich repeat containing 38",39031,2168,2,"protein_coding","IPR000372"
"ENSG00000162493.17","PDPN","ENSG00000162493.17","podoplanin",34493,15398,62,"protein_coding","IPR052684"
"ENSG00000116731.23","PRDM2","ENSG00000116731.23","PR/SET domain 2",124892,35837,76,"protein_coding","IPR001214"
"ENSG00000189337.17","KAZN","ENSG00000189337.17","kazrin, periplakin interacting protein",1225252,30763,80,"protein_coding","IPR037614"
"ENSG00000171729.14","TMEM51","ENSG00000171729.14","transmembrane protein 51",67947,10225,21,"protein_coding","IPR029265"
"ENSG00000142621.21","FHAD1","ENSG00000142621.21","forkhead associated phosphopeptide binding domain 1",163763,50466,283,"protein_coding","IPR000253"
"ENSG00000142634.13","EFHD2","ENSG00000142634.13","EF-hand domain family member D2",20452,3321,9,"protein_coding","IPR002048"
"ENSG00000162438.12","CTRC","ENSG00000162438.12","chymotrypsin C",10801,7565,22,"protein_coding",""
"ENSG00000142615.8","CELA2A","ENSG00000142615.8","chymotrypsin like elastase 2A",15364,2033,14,"protein_coding","IPR001254"
"ENSG00000215704.10","CELA2B","ENSG00000215704.10","chymotrypsin like elastase 2B",25487,2542,21,"protein_coding","IPR001254"
"ENSG00000132906.18","CASP9","ENSG00000132906.18","caspase 9",35703,17001,72,"protein_coding","IPR001309"
"ENSG00000116138.13","DNAJC16","ENSG00000116138.13","DnaJ heat shock protein family (Hsp40) member C16",65567,29034,97,"protein_coding","IPR001623"
"ENSG00000116771.6","AGMAT","ENSG00000116771.6","agmatinase (putative)",13353,3095,7,"protein_coding","IPR005925"
"ENSG00000197312.13","DDI2","ENSG00000197312.13","DNA damage inducible 1 homolog 2",51587,37227,49,"protein_coding","IPR000626"
"ENSG00000215695.2","RSC1A1","ENSG00000215695.2","regulator of solute carriers 1",2321,2321,1,"protein_coding","IPR015940"
"ENSG00000116786.13","PLEKHM2","ENSG00000116786.13",NA,50450,13479,72,"protein_coding",NA
"ENSG00000162461.8","SLC25A34","ENSG00000162461.8","solute carrier family 25 member 34",5135,4143,11,"protein_coding","IPR018108"
"ENSG00000162460.7","TMEM82","ENSG00000162460.7","transmembrane protein 82",5484,2140,9,"protein_coding","IPR031648"
"ENSG00000162458.13","FBLIM1","ENSG00000162458.13","filamin binding LIM protein 1",29988,15819,72,"protein_coding",""
"ENSG00000233954.7","UQCRHL","ENSG00000233954.7","ubiquinol-cytochrome c reductase hinge protein like",2180,2456,2,"protein_coding","IPR003422"
"ENSG00000065526.13","SPEN","ENSG00000065526.13","spen family transcriptional repressor",104362,39886,57,"protein_coding","IPR000504"
"ENSG00000116809.12","ZBTB17","ENSG00000116809.12","zinc finger and BTB domain containing 17",34264,17026,93,"protein_coding","IPR013087"
"ENSG00000183888.4","SRARP","ENSG00000183888.4","steroid receptor associated and regulated protein",4572,3039,2,"protein_coding","IPR027852"
"ENSG00000173641.18","HSPB7","ENSG00000173641.18","heat shock protein family B (small) member 7",5567,11462,21,"protein_coding","IPR002068"
"ENSG00000186510.12","CLCNKA","ENSG00000186510.12","chloride voltage-gated channel Ka",15176,12080,101,"protein_coding","IPR000644"
"ENSG00000184908.20","CLCNKB","ENSG00000184908.20","chloride voltage-gated channel Kb",17060,35828,244,"protein_coding","IPR000644"
